               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13107,            0.046665,                   0,          0.00060606,            0.045977,          0.00033621,           4.161e-05,             0.13072,            0.034843,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.13239,            0.043598,                   0,          0.00075758,            0.057471,          0.00041822,          8.1496e-05,             0.13023,            0.034126,                   0,            0.097299,          0.00029851,          0.00029851
                   2,             0.13156,            0.045734,                   0,          0.00045455,            0.034483,          0.00025969,          7.5199e-05,             0.12891,            0.033241,                   0,            0.095495,          0.00049505,          0.00049505
                   3,             0.13104,             0.04134,                   0,          0.00045455,            0.034483,          0.00024454,          7.9971e-05,             0.12718,             0.03231,                   0,             0.09369,           0.0006896,           0.0006896
                   4,             0.12437,            0.041255,                   0,           0.0010606,             0.08046,          0.00058762,           0.0001054,             0.12465,            0.031494,                   0,            0.091882,          0.00088218,          0.00088218
                   5,             0.12718,             0.04173,                   0,          0.00060606,            0.045977,          0.00032608,          4.8991e-05,             0.12235,            0.030495,                   0,            0.090073,           0.0010728,           0.0010728
                   6,             0.12388,            0.046624,                   0,          0.00060606,            0.045977,          0.00032908,          4.0767e-05,             0.12222,            0.029701,                   0,            0.088261,           0.0012614,           0.0012614
                   7,             0.12289,            0.042284,                   0,          0.00075758,            0.057471,           0.0004208,          8.3186e-05,             0.12087,            0.029213,                   0,            0.086448,            0.001448,            0.001448
                   8,             0.12244,            0.037471,                   0,          0.00075758,            0.057471,          0.00042869,          7.7365e-05,             0.11908,            0.029678,                   0,            0.084633,           0.0016327,           0.0016327
                   9,             0.11834,            0.041275,                   0,           0.0021212,             0.16092,           0.0013775,          0.00040981,             0.11597,            0.030121,                   0,            0.082815,           0.0018154,           0.0018154
                  10,             0.11873,            0.048609,                   0,           0.0024242,             0.18391,           0.0016032,          0.00039661,             0.11492,            0.029892,                   0,            0.080996,            0.001996,            0.001996
                  11,             0.11748,            0.043946,                   0,           0.0024242,             0.18391,           0.0016152,          0.00040704,              0.1117,            0.030777,                   0,            0.079175,           0.0021748,           0.0021748
                  12,             0.11445,             0.04275,                   0,           0.0025758,              0.1954,           0.0018376,          0.00041106,             0.11016,            0.030548,                   0,            0.077352,           0.0023515,           0.0023515
                  13,             0.11673,            0.044539,                   0,           0.0030303,             0.22989,           0.0022599,          0.00057211,             0.10922,            0.029854,                   0,            0.075526,           0.0025263,           0.0025263
                  14,             0.10698,            0.046039,                   0,           0.0043939,             0.33333,           0.0091814,           0.0017788,             0.10753,            0.029495,                   0,            0.073699,            0.002699,            0.002699
                  15,             0.11252,            0.046813,                   0,             0.21963,            0.034483,            0.031106,            0.005223,             0.10637,            0.029037,                   0,             0.07187,           0.0028698,           0.0028698
                  16,             0.11303,            0.044554,                   0,             0.28339,            0.077371,            0.046939,           0.0079409,             0.10495,            0.028732,                   0,            0.070039,           0.0030386,           0.0030386
                  17,             0.10532,            0.038796,                   0,             0.16851,            0.068966,            0.034613,            0.008557,             0.10297,            0.028862,                   0,            0.068205,           0.0032055,           0.0032055
                  18,             0.10418,            0.040003,                   0,             0.12313,            0.091954,            0.038503,             0.01191,             0.10105,             0.02903,                   0,             0.06637,           0.0033703,           0.0033703
                  19,              0.1051,            0.041607,                   0,             0.10493,             0.10345,            0.038443,            0.012369,             0.10024,              0.0284,                   0,            0.064533,           0.0035332,           0.0035332
                  20,             0.10366,            0.038876,                   0,             0.19346,              0.2069,            0.089894,            0.025056,            0.096863,             0.02776,                   0,            0.062694,           0.0036941,           0.0036941
                  21,            0.099373,            0.034802,                   0,             0.18696,             0.17241,            0.081392,            0.021725,              0.1015,            0.026207,                   0,            0.060853,            0.003853,            0.003853
                  22,             0.10235,            0.045632,                   0,             0.21733,             0.19791,            0.093093,            0.025551,            0.097165,            0.026371,                   0,             0.05901,           0.0040099,           0.0040099
                  23,             0.09963,            0.038924,                   0,             0.15846,             0.18391,             0.10639,            0.025907,             0.10108,            0.025291,                   0,            0.057165,           0.0041649,           0.0041649
                  24,            0.098876,            0.038472,                   0,             0.17208,              0.2069,             0.13474,            0.032254,            0.097847,            0.025101,                   0,            0.055318,           0.0043179,           0.0043179
                  25,            0.090758,            0.039341,                   0,             0.23508,             0.27586,             0.18084,            0.037434,            0.095865,            0.026016,                   0,            0.053469,           0.0044689,           0.0044689
                  26,             0.09566,            0.042927,                   0,             0.26517,             0.31034,             0.15622,            0.036774,            0.092521,            0.026745,                   0,            0.051618,           0.0046179,           0.0046179
                  27,            0.094487,            0.039058,                   0,             0.26517,             0.31034,             0.15622,            0.036774,            0.092521,            0.026745,                   0,            0.049765,           0.0047649,           0.0047649
                  28,            0.091346,            0.040147,                   0,             0.36046,             0.28736,             0.22066,            0.057581,            0.094665,            0.026001,                   0,             0.04791,             0.00491,             0.00491
                  29,            0.089559,            0.045252,                   0,             0.22351,             0.29885,              0.1186,             0.03024,            0.095114,            0.026066,                   0,            0.046053,           0.0050531,           0.0050531
                  30,            0.089726,            0.045367,                   0,             0.22351,             0.29885,              0.1186,             0.03024,            0.095114,            0.026066,                   0,            0.044194,           0.0051941,           0.0051941
                  31,            0.087706,            0.042258,                   0,             0.16937,             0.34483,            0.099343,            0.026054,            0.094208,            0.026051,                   0,            0.042333,           0.0053333,           0.0053333
                  32,            0.087098,            0.040977,                   0,             0.18088,              0.2069,            0.090119,              0.0253,            0.093076,            0.026756,                   0,             0.04047,           0.0054704,           0.0054704
                  33,            0.084724,            0.032577,                   0,             0.18088,              0.2069,            0.090119,              0.0253,            0.093076,            0.026756,                   0,            0.038606,           0.0056056,           0.0056056
                  34,            0.091245,            0.041612,                   0,             0.33969,             0.30159,             0.23772,            0.069867,            0.087027,            0.026329,                   0,            0.036739,           0.0057387,           0.0057387
                  35,            0.081164,            0.036856,                   0,              0.1675,             0.41379,              0.1142,            0.037784,             0.10023,            0.023094,                   0,             0.03487,           0.0058699,           0.0058699
                  36,            0.087909,            0.043947,                   0,              0.1675,             0.41379,              0.1142,            0.037784,             0.10023,            0.023094,                   0,            0.032999,           0.0059991,           0.0059991
                  37,            0.088765,             0.04019,                   0,             0.25473,             0.39683,               0.184,            0.044129,             0.09038,            0.023872,                   0,            0.031126,           0.0061264,           0.0061264
                  38,            0.092918,            0.031166,                   0,             0.20602,              0.1954,             0.10937,            0.028089,            0.099914,            0.023159,                   0,            0.029252,           0.0062516,           0.0062516
                  39,            0.081935,            0.038982,                   0,             0.20602,              0.1954,             0.10937,            0.028089,            0.099914,            0.023159,                   0,            0.027375,           0.0063749,           0.0063749
                  40,            0.080023,            0.046482,                   0,             0.49056,             0.42529,             0.37725,               0.124,            0.084122,             0.02449,                   0,            0.025496,           0.0064962,           0.0064962
                  41,            0.076961,            0.046935,                   0,             0.18747,              0.4023,             0.16375,            0.045921,            0.089429,            0.027836,                   0,            0.023616,           0.0066155,           0.0066155
                  42,            0.076377,            0.037621,                   0,             0.18747,              0.4023,             0.16375,            0.045921,            0.089429,            0.027836,                   0,            0.021733,           0.0067329,           0.0067329
                  43,            0.083555,            0.047817,                   0,             0.06149,             0.57471,            0.047176,            0.013462,             0.09504,            0.028511,                   0,            0.019848,           0.0068482,           0.0068482
                  44,            0.088547,            0.031762,                   0,             0.06149,             0.57471,            0.047176,            0.013462,             0.09504,            0.028511,                   0,            0.017962,           0.0069616,           0.0069616
                  45,            0.085551,            0.031538,                   0,             0.14545,             0.27586,            0.095174,            0.024244,            0.087834,            0.026115,                   0,            0.016073,            0.007073,            0.007073
                  46,            0.079974,            0.028126,                   0,             0.14545,             0.27586,            0.095174,            0.024244,            0.087834,            0.026115,                   0,            0.014182,           0.0071824,           0.0071824
                  47,            0.083299,            0.034485,                   0,              0.2082,             0.52874,             0.26927,            0.081558,            0.098263,            0.023247,                   0,             0.01229,           0.0072898,           0.0072898
                  48,            0.090473,            0.034047,                   0,              0.2082,             0.52874,             0.26927,            0.081558,            0.098263,            0.023247,                   0,            0.010395,           0.0073953,           0.0073953
                  49,            0.088679,            0.026754,                   0,             0.28869,             0.29885,             0.22039,             0.04227,            0.091357,            0.021839,                   0,           0.0084988,           0.0074988,           0.0074988
                  50,            0.078244,            0.035868,                   0,             0.28869,             0.29885,             0.22039,             0.04227,            0.091357,            0.021839,                   0,            0.007525,            0.007525,            0.007525
                  51,            0.079804,            0.028452,                   0,             0.36615,             0.58621,             0.32822,            0.094802,            0.087122,            0.022217,                   0,            0.007525,            0.007525,            0.007525
                  52,            0.084532,            0.030116,                   0,             0.36615,             0.58621,             0.32822,            0.094802,            0.087122,            0.022217,                   0,           0.0074755,           0.0074755,           0.0074755
                  53,            0.084062,            0.036339,                   0,             0.08271,              0.6092,            0.090123,            0.026781,            0.080544,            0.024952,                   0,            0.007426,            0.007426,            0.007426
                  54,            0.075495,            0.032272,                   0,             0.08271,              0.6092,            0.090123,            0.026781,            0.080544,            0.024952,                   0,           0.0073765,           0.0073765,           0.0073765
                  55,            0.073892,            0.034441,                   0,             0.33314,             0.57471,             0.31915,             0.11159,            0.073522,            0.024666,                   0,            0.007327,            0.007327,            0.007327
                  56,            0.076858,            0.030736,                   0,             0.33314,             0.57471,             0.31915,             0.11159,            0.073522,            0.024666,                   0,           0.0072775,           0.0072775,           0.0072775
                  57,            0.070404,            0.040762,                   0,             0.29187,             0.50575,             0.25944,              0.1085,              0.0834,            0.025822,                   0,            0.007228,            0.007228,            0.007228
