               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11255,             0.04842,                   0,           0.0016667,             0.12644,           0.0019193,          0.00071995,             0.10759,            0.034019,                   0,              0.0991,              0.0001,              0.0001
                   1,              0.1166,            0.043753,                   0,           0.0016667,             0.12644,           0.0019193,           0.0006995,             0.10726,            0.034187,                   0,            0.097299,          0.00029851,          0.00029851
                   2,             0.11701,            0.047457,                   0,           0.0016667,             0.12644,           0.0011204,          0.00037926,             0.10683,            0.034142,                   0,            0.095495,          0.00049505,          0.00049505
                   3,             0.11433,            0.045423,                   0,           0.0016667,             0.12644,           0.0019196,          0.00073912,             0.10628,            0.034691,                   0,             0.09369,           0.0006896,           0.0006896
                   4,             0.10815,             0.04473,                   0,           0.0018182,             0.13793,           0.0020019,          0.00079183,              0.1057,            0.034996,                   0,            0.091882,          0.00088218,          0.00088218
                   5,             0.11459,            0.048571,                   0,           0.0019697,             0.14943,           0.0014669,          0.00050023,              0.1051,             0.03479,                   0,            0.090073,           0.0010728,           0.0010728
                   6,             0.11153,            0.057111,                   0,           0.0019697,             0.14943,            0.002086,          0.00080387,             0.10457,            0.034805,                   0,            0.088261,           0.0012614,           0.0012614
                   7,             0.11055,            0.049944,                   0,           0.0019697,             0.14943,            0.002086,          0.00076942,             0.10397,            0.035393,                   0,            0.086448,            0.001448,            0.001448
                   8,             0.11387,            0.043262,                   0,           0.0019697,             0.14943,           0.0012819,          0.00043082,              0.1037,            0.035278,                   0,            0.084633,           0.0016327,           0.0016327
                   9,             0.10931,            0.048747,                   0,           0.0019697,             0.14943,           0.0020856,          0.00074331,             0.10345,            0.035416,                   0,            0.082815,           0.0018154,           0.0018154
                  10,             0.10961,            0.059527,                   0,           0.0019697,             0.14943,            0.002427,           0.0009295,             0.10313,            0.035088,                   0,            0.080996,            0.001996,            0.001996
                  11,             0.11198,            0.051978,                   0,           0.0019697,             0.14943,           0.0020785,          0.00068062,             0.10283,            0.035484,                   0,            0.079175,           0.0021748,           0.0021748
                  12,             0.11106,            0.048406,                   0,           0.0019697,             0.14943,           0.0020334,          0.00068416,             0.10256,            0.035622,                   0,            0.077352,           0.0023515,           0.0023515
                  13,             0.10915,            0.055878,                   0,           0.0019697,             0.14943,           0.0012888,          0.00041089,             0.10227,            0.035782,                   0,            0.075526,           0.0025263,           0.0025263
                  14,             0.10772,            0.051972,                   0,           0.0021212,             0.16092,           0.0032858,           0.0011172,             0.10201,            0.035912,                   0,            0.073699,            0.002699,            0.002699
                  15,             0.11084,            0.057017,                   0,           0.0021212,             0.16092,            0.002362,           0.0006367,             0.10173,            0.036064,                   0,             0.07187,           0.0028698,           0.0028698
                  16,               0.109,            0.058185,                   0,           0.0021212,             0.16092,           0.0024935,          0.00071897,             0.10149,            0.036179,                   0,            0.070039,           0.0030386,           0.0030386
                  17,             0.10653,            0.047685,                   0,           0.0022727,             0.17241,           0.0025205,          0.00062695,             0.10122,            0.035812,                   0,            0.068205,           0.0032055,           0.0032055
                  18,             0.10811,             0.04878,                   0,           0.0019697,             0.14943,           0.0015268,          0.00043655,             0.10094,            0.035957,                   0,             0.06637,           0.0033703,           0.0033703
                  19,             0.10729,            0.052761,                   0,           0.0021212,             0.16092,           0.0024935,          0.00062876,             0.10067,            0.036102,                   0,            0.064533,           0.0035332,           0.0035332
                  20,             0.10616,            0.049624,                   0,           0.0019697,             0.14943,           0.0024393,          0.00062571,             0.10043,            0.036224,                   0,            0.062694,           0.0036941,           0.0036941
                  21,             0.10422,            0.044574,                   0,           0.0019697,             0.14943,           0.0015259,          0.00040703,             0.10011,              0.0364,                   0,            0.060853,            0.003853,            0.003853
                  22,             0.10686,             0.05932,                   0,           0.0021212,             0.16092,            0.002497,           0.0006051,            0.099823,            0.036545,                   0,             0.05901,           0.0040099,           0.0040099
