               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11135,            0.048404,                   0,           0.0016667,             0.12644,           0.0019196,          0.00069874,             0.10772,            0.033867,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.11654,            0.042497,                   0,           0.0016667,             0.12644,           0.0019196,          0.00069874,             0.10757,            0.033943,                   0,            0.097297,          0.00029703,          0.00029703
                   2,             0.11718,            0.046382,                   0,           0.0016667,             0.12644,           0.0019198,          0.00072672,             0.10711,            0.033905,                   0,             0.09549,           0.0004901,           0.0004901
                   3,              0.1153,            0.043915,                   0,           0.0018182,             0.13793,           0.0020019,          0.00074726,             0.10652,             0.03447,                   0,            0.093679,          0.00067921,          0.00067921
                   4,             0.10739,            0.044688,                   0,           0.0019697,             0.14943,           0.0015498,          0.00048083,             0.10589,            0.034271,                   0,            0.091864,          0.00086436,          0.00086436
                   5,             0.11427,            0.048031,                   0,           0.0019697,             0.14943,           0.0017644,          0.00053683,             0.10526,            0.034592,                   0,            0.090046,           0.0010455,           0.0010455
                   6,             0.11112,            0.056036,                   0,           0.0018182,             0.13793,           0.0020028,          0.00073578,             0.10458,            0.034683,                   0,            0.088223,           0.0012228,           0.0012228
                   7,             0.10984,             0.04987,                   0,           0.0018182,             0.13793,           0.0019506,          0.00067801,             0.10392,            0.035301,                   0,            0.086396,            0.001396,            0.001396
                   8,             0.11384,            0.043012,                   0,           0.0018182,             0.13793,           0.0013657,          0.00047287,             0.10362,            0.035469,                   0,            0.084565,           0.0015654,           0.0015654
                   9,             0.10729,            0.049477,                   0,           0.0019697,             0.14943,            0.001785,          0.00049351,             0.10332,            0.035622,                   0,            0.082731,           0.0017307,           0.0017307
                  10,             0.10956,            0.058877,                   0,           0.0019697,             0.14943,           0.0013666,          0.00040943,               0.103,            0.035294,                   0,            0.080892,           0.0018921,           0.0018921
                  11,             0.11242,            0.051423,                   0,           0.0019697,             0.14943,           0.0022771,          0.00063099,             0.10263,            0.035484,                   0,             0.07905,           0.0020495,           0.0020495
                  12,              0.1093,            0.048992,                   0,           0.0019697,             0.14943,           0.0022771,          0.00061157,             0.10234,            0.035637,                   0,            0.077203,            0.002203,            0.002203
                  13,             0.10865,            0.055798,                   0,           0.0019697,             0.14943,           0.0022771,          0.00055108,             0.10198,            0.035843,                   0,            0.075353,           0.0023525,           0.0023525
                  14,             0.10637,            0.052406,                   0,           0.0019697,             0.14943,            0.001785,          0.00043199,             0.10165,            0.035492,                   0,            0.073498,           0.0024981,           0.0024981
                  15,             0.11011,             0.05683,                   0,           0.0022727,             0.17241,           0.0018077,           0.0004297,             0.10136,            0.035652,                   0,             0.07164,           0.0026396,           0.0026396
                  16,              0.1093,            0.057233,                   0,           0.0022727,             0.17241,            0.002512,          0.00049275,             0.10106,             0.03582,                   0,            0.069777,           0.0027773,           0.0027773
                  17,             0.10664,            0.047345,                   0,           0.0022727,             0.17241,            0.001928,           0.0003799,             0.10077,            0.035988,                   0,            0.067911,           0.0029109,           0.0029109
                  18,             0.10738,             0.04831,                   0,           0.0021212,             0.16092,           0.0016234,          0.00035826,              0.1005,             0.03614,                   0,            0.066041,           0.0030407,           0.0030407
                  19,             0.10923,            0.050528,                   0,           0.0021212,             0.16092,           0.0013243,          0.00029976,             0.10022,            0.035774,                   0,            0.064166,           0.0031664,           0.0031664
                  20,             0.10785,            0.048369,                   0,           0.0021212,             0.16092,           0.0017164,          0.00038659,            0.099965,            0.035919,                   0,            0.062288,           0.0032882,           0.0032882
                  21,             0.10386,            0.044705,                   0,           0.0021212,             0.16092,           0.0017164,          0.00037775,            0.099673,            0.036087,                   0,            0.060406,            0.003406,            0.003406
                  22,             0.10624,            0.059472,                   0,           0.0021212,             0.16092,           0.0014935,          0.00032444,            0.099399,            0.036255,                   0,             0.05852,           0.0035199,           0.0035199
                  23,              0.1082,            0.050631,                   0,           0.0021212,             0.16092,           0.0013344,          0.00030526,            0.099139,            0.036392,                   0,             0.05663,           0.0036298,           0.0036298
                  24,             0.10602,             0.04977,                   0,           0.0019697,             0.14943,           0.0015734,          0.00036389,            0.098876,            0.036537,                   0,            0.054736,           0.0037358,           0.0037358
                  25,             0.10208,            0.050926,                   0,           0.0019697,             0.14943,           0.0013431,          0.00030971,            0.098622,            0.036674,                   0,            0.052838,           0.0038378,           0.0038378
                  26,             0.10589,            0.056197,                   0,           0.0019697,             0.14943,           0.0013431,          0.00030092,            0.098342,            0.036827,                   0,            0.050936,           0.0039358,           0.0039358
                  27,              0.1041,            0.049779,                   0,           0.0019697,             0.14943,           0.0013431,          0.00030092,            0.098342,            0.036827,                   0,             0.04903,           0.0040299,           0.0040299
                  28,             0.10475,            0.053618,                   0,           0.0019697,             0.14943,           0.0013564,          0.00031885,            0.098088,            0.036972,                   0,             0.04712,             0.00412,             0.00412
                  29,             0.10254,            0.060073,                   0,           0.0019697,             0.14943,           0.0013401,            0.000291,            0.097817,            0.037125,                   0,            0.045206,           0.0042061,           0.0042061
                  30,             0.10253,            0.063287,                   0,           0.0019697,             0.14943,           0.0013401,            0.000291,            0.097817,            0.037125,                   0,            0.043288,           0.0042883,           0.0042883
                  31,             0.10539,            0.056667,                   0,           0.0019697,             0.14943,           0.0013374,          0.00030244,             0.09758,            0.037262,                   0,            0.041367,           0.0043665,           0.0043665
                  32,             0.10453,            0.054703,                   0,           0.0018182,             0.13793,           0.0010868,          0.00026654,            0.097337,            0.037392,                   0,            0.039441,           0.0044408,           0.0044408
                  33,             0.10142,            0.041219,                   0,           0.0018182,             0.13793,           0.0010868,          0.00026654,            0.097337,            0.037392,                   0,            0.037511,           0.0045111,           0.0045111
                  34,             0.10646,            0.058123,                   0,           0.0018182,             0.13793,           0.0011122,          0.00027146,            0.097114,            0.037506,                   0,            0.035577,           0.0045775,           0.0045775
                  35,             0.10244,            0.048496,                   0,           0.0018182,             0.13793,           0.0010654,          0.00026072,            0.096888,            0.037636,                   0,             0.03364,           0.0046399,           0.0046399
                  36,             0.10575,            0.062043,                   0,           0.0018182,             0.13793,           0.0010654,          0.00026072,            0.096888,            0.037636,                   0,            0.031698,           0.0046983,           0.0046983
                  37,             0.10364,            0.056217,                   0,           0.0018182,             0.13793,           0.0010987,          0.00026889,            0.096716,            0.037735,                   0,            0.029753,           0.0047528,           0.0047528
                  38,             0.10552,             0.05028,                   0,           0.0018182,             0.13793,           0.0011073,          0.00027077,            0.096547,            0.037834,                   0,            0.027803,           0.0048033,           0.0048033
                  39,             0.10116,            0.060001,                   0,           0.0018182,             0.13793,           0.0011073,          0.00027077,            0.096547,            0.037834,                   0,             0.02585,           0.0048498,           0.0048498
                  40,             0.10263,            0.068927,                   0,           0.0018182,             0.13793,            0.001101,          0.00026985,             0.09639,            0.037926,                   0,            0.023892,           0.0048924,           0.0048924
                  41,             0.10243,            0.067986,                   0,           0.0018182,             0.13793,           0.0010918,          0.00026755,             0.09624,             0.03801,                   0,            0.021931,            0.004931,            0.004931
                  42,            0.098899,            0.059619,                   0,           0.0018182,             0.13793,           0.0010918,          0.00026755,             0.09624,             0.03801,                   0,            0.019966,           0.0049657,           0.0049657
                  43,             0.10457,            0.072499,                   0,           0.0018182,             0.13793,           0.0010977,          0.00026862,            0.096095,            0.038094,                   0,            0.017996,           0.0049964,           0.0049964
                  44,            0.098463,            0.055228,                   0,           0.0018182,             0.13793,           0.0010977,          0.00026862,            0.096095,            0.038094,                   0,            0.016023,           0.0050232,           0.0050232
                  45,            0.098012,            0.050196,                   0,           0.0019697,             0.14943,           0.0012086,          0.00028531,            0.095959,            0.038155,                   0,            0.014046,            0.005046,            0.005046
                  46,             0.09995,            0.044354,                   0,           0.0019697,             0.14943,           0.0012086,          0.00028531,            0.095959,            0.038155,                   0,            0.012065,           0.0050648,           0.0050648
                  47,             0.10214,            0.058129,                   0,           0.0018182,             0.13793,           0.0011804,          0.00028499,            0.095835,            0.038223,                   0,             0.01008,           0.0050797,           0.0050797
                  48,             0.10089,            0.061398,                   0,           0.0018182,             0.13793,           0.0011804,          0.00028499,            0.095835,            0.038223,                   0,           0.0080906,           0.0050906,           0.0050906
                  49,            0.097532,            0.044922,                   0,           0.0015152,             0.11494,          0.00087327,          0.00021242,            0.095726,            0.038261,                   0,           0.0060975,           0.0050975,           0.0050975
                  50,            0.099691,            0.055737,                   0,           0.0015152,             0.11494,          0.00087327,          0.00021242,            0.095726,            0.038261,                   0,             0.00505,             0.00505,             0.00505
                  51,            0.099271,             0.04795,                   0,           0.0018182,             0.13793,           0.0012475,          0.00031523,            0.095634,              0.0383,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.098936,            0.048597,                   0,           0.0018182,             0.13793,           0.0012475,          0.00031523,            0.095634,              0.0383,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.098782,            0.065321,                   0,           0.0018182,             0.13793,            0.001105,          0.00027903,            0.095587,            0.038147,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.097045,            0.051356,                   0,           0.0018182,             0.13793,            0.001105,          0.00027903,            0.095587,            0.038147,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.097497,            0.059584,                   0,           0.0016667,             0.12644,           0.0010011,          0.00024082,            0.095556,            0.037888,                   0,            0.004654,            0.004654,            0.004654
                  56,             0.10197,            0.051098,                   0,           0.0016667,             0.12644,           0.0010011,          0.00024082,            0.095556,            0.037888,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.096761,             0.06772,                   0,           0.0012121,            0.091954,          0.00070607,          0.00015726,            0.095515,            0.037857,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.099087,            0.063081,                   0,           0.0012121,            0.091954,          0.00070607,          0.00015726,            0.095515,            0.037857,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.097313,            0.062068,                   0,           0.0012121,            0.091954,          0.00075868,          0.00018264,            0.095455,            0.037857,                   0,            0.004258,            0.004258,            0.004258
                  60,             0.10169,             0.06071,                   0,           0.0012121,            0.091954,          0.00075868,          0.00018264,            0.095455,            0.037857,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.099511,            0.052288,                   0,           0.0013636,             0.10345,          0.00081033,          0.00017714,            0.095419,            0.037811,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.098285,            0.059915,                   0,           0.0013636,             0.10345,          0.00081033,          0.00017714,            0.095419,            0.037811,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.098741,            0.048784,                   0,           0.0015152,             0.11494,          0.00089359,          0.00021245,            0.095302,            0.037804,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.10016,            0.067667,                   0,           0.0015152,             0.11494,          0.00089359,          0.00021245,            0.095302,            0.037804,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.095578,            0.045632,                   0,           0.0015152,             0.11494,          0.00091846,          0.00021519,            0.095261,            0.037674,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.098683,            0.057569,                   0,           0.0015152,             0.11494,          0.00091846,          0.00021519,            0.095261,            0.037674,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.099415,            0.054364,                   0,           0.0013636,             0.10345,          0.00081407,          0.00019346,            0.095188,            0.037621,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.10054,            0.059351,                   0,           0.0013636,             0.10345,          0.00081407,          0.00019346,            0.095188,            0.037621,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.097681,              0.0596,                   0,           0.0013636,             0.10345,          0.00084128,          0.00019815,            0.095117,             0.03756,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.099436,            0.043153,                   0,           0.0013636,             0.10345,          0.00084128,          0.00019815,            0.095117,             0.03756,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.097283,            0.056161,                   0,           0.0013636,             0.10345,          0.00083989,          0.00017939,            0.095057,             0.03756,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.095714,             0.05087,                   0,           0.0013636,             0.10345,          0.00083989,          0.00017939,            0.095057,             0.03756,                   0,            0.002971,            0.002971,            0.002971
                  73,                 0.1,            0.054544,                   0,           0.0015152,             0.11494,          0.00091863,          0.00020529,            0.095022,             0.03756,                   0,            0.002872,            0.002872,            0.002872
                  74,             0.10245,            0.062383,                   0,           0.0015152,             0.11494,          0.00091863,          0.00020529,            0.095022,             0.03756,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.097573,            0.059042,                   0,           0.0015152,             0.11494,          0.00093942,          0.00020882,            0.095046,            0.037521,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.096492,            0.059028,                   0,           0.0015152,             0.11494,          0.00093942,          0.00020882,            0.095046,            0.037521,                   0,            0.002575,            0.002575,            0.002575
                  77,             0.10057,            0.054754,                   0,           0.0013636,             0.10345,          0.00083025,          0.00019443,            0.095047,            0.037521,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.09835,            0.059939,                   0,           0.0013636,             0.10345,          0.00083025,          0.00019443,            0.095047,            0.037521,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.098321,             0.06457,                   0,           0.0016667,             0.12644,           0.0010738,            0.000248,            0.095055,            0.037514,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.10124,            0.067081,                   0,           0.0016667,             0.12644,           0.0010738,            0.000248,            0.095055,            0.037514,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.097691,            0.059444,                   0,           0.0018182,             0.13793,           0.0011544,           0.0002559,            0.095118,             0.03746,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.09521,            0.054519,                   0,           0.0018182,             0.13793,           0.0011544,           0.0002559,            0.095118,             0.03746,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.099647,            0.060118,                   0,           0.0018182,             0.13793,           0.0012046,          0.00026882,            0.095034,            0.037521,                   0,            0.001882,            0.001882,            0.001882
                  84,             0.10075,            0.058365,                   0,           0.0018182,             0.13793,           0.0012046,          0.00026882,            0.095034,            0.037521,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.099327,            0.056092,                   0,           0.0016667,             0.12644,           0.0010467,          0.00024894,            0.094993,            0.037537,                   0,            0.001684,            0.001684,            0.001684
                  86,             0.10087,            0.055918,                   0,           0.0016667,             0.12644,           0.0010467,          0.00024894,            0.094993,            0.037537,                   0,            0.001585,            0.001585,            0.001585
                  87,             0.10125,            0.055988,                   0,           0.0015152,             0.11494,          0.00098103,          0.00023372,            0.094915,             0.03759,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.099563,             0.06568,                   0,           0.0015152,             0.11494,          0.00098103,          0.00023372,            0.094915,             0.03759,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.096899,            0.047781,                   0,           0.0018182,             0.13793,           0.0011698,          0.00027183,             0.09485,            0.037659,                   0,            0.001288,            0.001288,            0.001288
                  90,             0.09787,            0.066547,                   0,           0.0018182,             0.13793,           0.0011698,          0.00027183,             0.09485,            0.037659,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.097273,            0.064241,                   0,           0.0018182,             0.13793,           0.0011869,          0.00026031,            0.094779,            0.037704,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.096449,            0.055309,                   0,           0.0018182,             0.13793,           0.0011869,          0.00026031,            0.094779,            0.037704,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.095678,            0.060146,                   0,           0.0016667,             0.12644,           0.0011945,          0.00024599,            0.094729,            0.037773,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.099916,            0.053851,                   0,           0.0016667,             0.12644,           0.0011945,          0.00024599,            0.094729,            0.037773,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.096711,             0.05742,                   0,           0.0016667,             0.12644,           0.0010633,          0.00022184,            0.094671,            0.037827,                   0,            0.000694,            0.000694,            0.000694
                  96,             0.09811,            0.055759,                   0,           0.0016667,             0.12644,           0.0010633,          0.00022184,            0.094671,            0.037827,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.098829,            0.063577,                   0,           0.0016667,             0.12644,           0.0011149,          0.00023012,            0.094629,            0.037857,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.097188,            0.065074,                   0,           0.0016667,             0.12644,           0.0011149,          0.00023012,            0.094629,            0.037857,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.097218,            0.060615,                   0,           0.0016667,             0.12644,           0.0011912,          0.00025846,              0.0946,            0.037872,                   0,            0.000298,            0.000298,            0.000298
