               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12574,            0.043648,                   0,           0.0015294,             0.11494,           0.0011958,          0.00021081,             0.12238,            0.037125,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12544,            0.042077,                   0,           0.0012324,            0.091954,           0.0011689,          0.00021841,             0.12203,            0.036606,                   0,            0.097299,          0.00029851,          0.00029851
                   2,              0.1263,            0.044247,                   0,           0.0017461,             0.12644,           0.0014682,          0.00026639,             0.12107,            0.036118,                   0,            0.095495,          0.00049505,          0.00049505
                   3,             0.12243,            0.043531,                   0,           0.0021678,             0.13793,           0.0016312,           0.0003474,             0.11962,            0.035637,                   0,             0.09369,           0.0006896,           0.0006896
                   4,             0.12242,            0.038795,                   0,           0.0035586,             0.16092,           0.0021832,          0.00042833,             0.11777,            0.035225,                   0,            0.091882,          0.00088218,          0.00088218
                   5,             0.12201,            0.044277,                   0,            0.007697,             0.16092,            0.005111,          0.00088729,             0.11604,            0.034729,                   0,            0.090073,           0.0010728,           0.0010728
                   6,             0.11779,            0.050467,                   0,            0.037566,            0.068966,           0.0088391,           0.0014349,             0.11383,            0.034439,                   0,            0.088261,           0.0012614,           0.0012614
                   7,             0.11471,            0.046717,                   0,            0.043764,            0.094175,            0.014239,           0.0023497,             0.11189,            0.033989,                   0,            0.086448,            0.001448,            0.001448
                   8,             0.11731,            0.041116,                   0,             0.04083,             0.10345,            0.012569,            0.002474,             0.11021,            0.033905,                   0,            0.084633,           0.0016327,           0.0016327
                   9,             0.11031,            0.045484,                   0,            0.089801,            0.068055,             0.02191,           0.0040736,             0.10917,            0.033661,                   0,            0.082815,           0.0018154,           0.0018154
                  10,             0.11172,            0.055209,                   0,             0.16279,            0.068966,            0.049498,           0.0082138,             0.10756,            0.033279,                   0,            0.080996,            0.001996,            0.001996
                  11,             0.11058,            0.048494,                   0,             0.19335,            0.091954,            0.059247,            0.015315,             0.10549,            0.033012,                   0,            0.079175,           0.0021748,           0.0021748
                  12,             0.10533,            0.045931,                   0,             0.19649,             0.12644,            0.072033,            0.018147,             0.10217,            0.033073,                   0,            0.077352,           0.0023515,           0.0023515
                  13,             0.10589,            0.049654,                   0,              0.1852,             0.12644,            0.090801,            0.023003,            0.099804,            0.033203,                   0,            0.075526,           0.0025263,           0.0025263
                  14,             0.10092,            0.048225,                   0,             0.25762,              0.1954,             0.12232,            0.032972,            0.095096,            0.033348,                   0,            0.073699,            0.002699,            0.002699
                  15,             0.10166,            0.053943,                   0,             0.11653,             0.18391,            0.043032,            0.010867,             0.10243,            0.031654,                   0,             0.07187,           0.0028698,           0.0028698
                  16,             0.10464,            0.050596,                   0,             0.13366,             0.21839,            0.054439,            0.012516,             0.10172,            0.031822,                   0,            0.070039,           0.0030386,           0.0030386
                  17,             0.10217,             0.04168,                   0,             0.15335,             0.22989,            0.065836,            0.016761,             0.10073,            0.030937,                   0,            0.068205,           0.0032055,           0.0032055
                  18,            0.098401,            0.043686,                   0,             0.11054,             0.18391,            0.064013,            0.017999,            0.098685,            0.030846,                   0,             0.06637,           0.0033703,           0.0033703
                  19,            0.096672,            0.046596,                   0,             0.16287,             0.31034,            0.099923,            0.031089,            0.098561,            0.029888,                   0,            0.064533,           0.0035332,           0.0035332
                  20,            0.094962,            0.043237,                   0,             0.20691,             0.25287,              0.1295,            0.037817,            0.092581,            0.029892,                   0,            0.062694,           0.0036941,           0.0036941
                  21,            0.088262,            0.037234,                   0,             0.23194,              0.2069,             0.12493,            0.040916,            0.092415,            0.029362,                   0,            0.060853,            0.003853,            0.003853
                  22,            0.091625,            0.051549,                   0,             0.27221,             0.36544,             0.16715,            0.055973,            0.094198,             0.02853,                   0,             0.05901,           0.0040099,           0.0040099
                  23,            0.095427,            0.039993,                   0,             0.29274,             0.33333,             0.18742,            0.051167,            0.094329,            0.028347,                   0,            0.057165,           0.0041649,           0.0041649
                  24,            0.093689,            0.041013,                   0,               0.273,             0.35632,             0.18009,            0.058852,            0.090986,            0.028793,                   0,            0.055318,           0.0043179,           0.0043179
                  25,            0.087762,            0.037146,                   0,             0.13539,             0.35632,            0.080539,            0.025338,            0.096458,             0.03059,                   0,            0.053469,           0.0044689,           0.0044689
                  26,            0.091637,            0.044864,                   0,             0.29022,             0.36782,             0.24106,            0.069703,            0.091824,            0.029449,                   0,            0.051618,           0.0046179,           0.0046179
                  27,            0.091054,            0.036777,                   0,             0.29022,             0.36782,             0.24106,            0.069703,            0.091824,            0.029449,                   0,            0.049765,           0.0047649,           0.0047649
                  28,            0.085897,            0.040601,                   0,             0.16052,             0.42529,             0.12855,            0.038288,            0.087322,            0.030426,                   0,             0.04791,             0.00491,             0.00491
                  29,            0.083512,            0.044635,                   0,             0.21373,             0.43743,              0.1712,            0.054556,             0.10306,            0.028347,                   0,            0.046053,           0.0050531,           0.0050531
                  30,            0.091654,            0.044528,                   0,             0.21373,             0.43743,              0.1712,            0.054556,             0.10306,            0.028347,                   0,            0.044194,           0.0051941,           0.0051941
                  31,            0.084028,            0.041297,                   0,             0.27545,             0.40641,             0.26316,            0.069378,            0.087385,            0.027664,                   0,            0.042333,           0.0053333,           0.0053333
                  32,            0.075194,            0.039991,                   0,             0.24003,             0.41379,             0.19697,            0.044055,              0.0885,            0.027477,                   0,             0.04047,           0.0054704,           0.0054704
