               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12891,             0.13041,                   0,           0.0065131,            0.007874,           0.0041631,           0.0018405,             0.12315,            0.074287,                   0,                 0.1,                   0,                   0
                   1,             0.12587,             0.10628,                   0,           0.0070718,            0.007874,           0.0041631,           0.0018402,             0.12317,            0.074223,                   0,            0.099095,           9.505e-05,           9.505e-05
                   2,             0.12455,             0.10165,                   0,           0.0086689,            0.007874,           0.0041631,           0.0018408,             0.12315,            0.074247,                   0,             0.09818,           0.0001802,           0.0001802
                   3,             0.12459,             0.10851,                   0,            0.010968,            0.007874,           0.0041631,            0.002009,             0.12318,            0.074087,                   0,            0.097255,          0.00025545,          0.00025545
                   4,              0.1275,             0.12321,                   0,           0.0047804,            0.007874,           0.0033298,            0.001506,             0.12316,            0.074006,                   0,            0.096321,           0.0003208,           0.0003208
                   5,             0.12726,             0.12081,                   0,             0.00446,            0.007874,           0.0033298,           0.0013319,             0.12308,            0.073952,                   0,            0.095376,          0.00037625,          0.00037625
                   6,             0.12564,             0.12543,                   0,           0.0044894,            0.007874,           0.0033298,           0.0015035,             0.12302,            0.073855,                   0,            0.094422,           0.0004218,           0.0004218
                   7,             0.12342,             0.11996,                   0,           0.0040224,            0.007874,           0.0033298,           0.0016649,             0.12288,            0.073917,                   0,            0.093457,          0.00045745,          0.00045745
                   8,             0.12646,             0.10697,                   0,           0.0036791,            0.007874,           0.0033298,           0.0016649,             0.12275,            0.073873,                   0,            0.092483,           0.0004832,           0.0004832
                   9,             0.12403,             0.12643,                   0,           0.0037023,            0.007874,           0.0033298,           0.0016649,             0.12263,            0.073906,                   0,            0.091499,          0.00049905,          0.00049905
                  10,             0.12521,             0.14353,                   0,            0.025021,            0.007874,           0.0041631,           0.0020815,             0.12244,             0.07399,                   0,            0.090505,            0.000505,            0.000505
                  11,              0.1258,             0.14144,                   0,            0.026677,            0.007874,           0.0041631,           0.0024979,             0.12229,            0.074023,                   0,            0.089501,          0.00050105,          0.00050105
                  12,             0.12642,             0.11326,                   0,            0.020755,            0.023622,           0.0069809,           0.0042659,             0.12211,            0.074085,                   0,            0.088487,           0.0004872,           0.0004872
                  13,             0.12436,             0.10863,                   0,            0.027645,            0.007874,           0.0041631,           0.0024979,             0.12194,            0.074139,                   0,            0.087463,          0.00046345,          0.00046345
                  14,             0.12663,            0.099266,                   0,            0.028062,            0.007874,           0.0041631,           0.0024979,             0.12175,            0.074229,                   0,             0.08643,           0.0004298,           0.0004298
                  15,             0.12378,             0.11991,                   0,             0.02682,            0.007874,           0.0041631,           0.0029142,             0.12162,             0.07432,                   0,            0.085386,          0.00038625,          0.00038625
                  16,             0.12387,             0.11342,                   0,            0.027238,            0.007874,           0.0041631,           0.0029142,              0.1215,            0.074345,                   0,            0.084333,           0.0003328,           0.0003328
                  17,             0.12714,             0.13298,                   0,            0.027238,            0.007874,           0.0041631,           0.0029142,              0.1215,            0.074345,                   0,            0.083269,          0.00026945,          0.00026945
                  18,             0.12675,             0.12886,                   0,            0.026814,            0.007874,           0.0041631,           0.0029142,             0.12153,            0.074181,                   0,            0.082196,           0.0001962,           0.0001962
                  19,              0.1268,             0.13906,                   0,            0.026814,            0.007874,           0.0041631,           0.0029142,             0.12153,            0.074181,                   0,            0.081113,          0.00011305,          0.00011305
