               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12569,            0.043789,                   0,           0.0015152,             0.11494,           0.0010405,          0.00027155,             0.12284,            0.037018,                   0,              0.0991,              0.0001,              0.0001
                   1,             0.12481,            0.043228,                   0,           0.0020541,             0.12644,            0.001362,           0.0002802,             0.12296,            0.036819,                   0,            0.097299,          0.00029851,          0.00029851
                   2,             0.12601,            0.044498,                   0,           0.0018212,             0.13793,           0.0013118,          0.00029566,             0.12193,            0.036446,                   0,            0.095495,          0.00049505,          0.00049505
                   3,             0.12314,            0.043112,                   0,           0.0018276,             0.13793,           0.0014932,          0.00032521,             0.12099,            0.035835,                   0,             0.09369,           0.0006896,           0.0006896
                   4,               0.122,            0.039914,                   0,           0.0016667,             0.12644,           0.0013538,          0.00032356,              0.1194,            0.035278,                   0,            0.091882,          0.00088218,          0.00088218
                   5,             0.12176,            0.045803,                   0,             0.00257,             0.17241,           0.0024425,          0.00049625,             0.11723,            0.034996,                   0,            0.090073,           0.0010728,           0.0010728
                   6,             0.11897,            0.049777,                   0,           0.0033688,             0.21839,           0.0057245,           0.0010655,             0.11434,            0.034737,                   0,            0.088261,           0.0012614,           0.0012614
                   7,             0.11587,            0.046396,                   0,           0.0086783,              0.2069,           0.0099265,           0.0019276,              0.1124,            0.033981,                   0,            0.086448,            0.001448,            0.001448
                   8,             0.11821,            0.040967,                   0,            0.026654,             0.16092,            0.019927,           0.0036669,             0.11093,            0.033791,                   0,            0.084633,           0.0016327,           0.0016327
                   9,             0.11199,            0.044441,                   0,            0.059273,             0.13793,            0.024617,           0.0055206,             0.10958,            0.033531,                   0,            0.082815,           0.0018154,           0.0018154
                  10,             0.11402,            0.052647,                   0,            0.018189,             0.11494,            0.009135,           0.0022375,             0.10858,             0.03331,                   0,            0.080996,            0.001996,            0.001996
